date,value
2016-10-27,313
2016-10-28,316
2016-10-29,319
2016-10-30,322
2016-10-31,325
2016-11-01,328
2016-11-02,331
2016-11-03,334
2016-11-04,337
2016-11-05,340
2016-11-06,343
2016-11-07,346
2016-11-08,349
2016-11-09,352
2016-11-10,355
2016-11-11,358
2016-11-12,361
2016-11-13,364
2016-11-14,367
2016-11-15,370
2016-11-16,373
2016-11-17,376
2016-11-18,379
2016-11-19,382
2016-11-20,385
2016-11-21,388
2016-11-22,391
2016-11-23,394
2016-11-24,397
2016-11-25,300
2016-11-26,303
2016-11-27,306
2016-11-28,309
2016-11-29,312
2016-11-30,315
2016-12-01,318
2016-12-02,321
2016-12-03,324
2016-12-04,327
2016-12-05,330
2016-12-06,333
2016-12-07,336
2016-12-08,339
2016-12-09,342
2016-12-10,345
2016-12-11,348
2016-12-12,351
2016-12-13,354
2016-12-14,357
2016-12-15,360
2016-12-16,363
2016-12-17,366
2016-12-18,369
2016-12-19,372
2016-12-20,375
2016-12-21,378
2016-12-22,381
2016-12-23,384
2016-12-24,387
2016-12-25,390
2016-12-26,393
2016-12-27,396
2016-12-28,399
2016-12-29,402
2016-12-30,405
2016-12-31,408
2017-01-01,411
2017-01-02,414
2017-01-03,417
2017-01-04,420
2017-01-05,423
2017-01-06,426
2017-01-07,429
2017-01-08,432
2017-01-09,435
2017-01-10,438
2017-01-11,441
2017-01-12,444
2017-01-13,447
2017-01-14,350
2017-01-15,353
2017-01-16,356
2017-01-17,359
2017-01-18,362
2017-01-19,365
2017-01-20,368
2017-01-21,371
2017-01-22,374
2017-01-23,377
2017-01-24,380
2017-01-25,383
2017-01-26,386
2017-01-27,389
2017-01-28,392
2017-01-29,395
2017-01-30,398
2017-01-31,401
2017-02-01,404
2017-02-02,407
2017-02-03,410
2017-02-04,413
2017-02-05,416
2017-02-06,419
2017-02-07,422
2017-02-08,425
2017-02-09,428
2017-02-10,431
2017-02-11,434
2017-02-12,437
2017-02-13,440
2017-02-14,443
2017-02-15,446
2017-02-16,449
2017-02-17,452
2017-02-18,455
2017-02-19,458
2017-02-20,461
2017-02-21,464
2017-02-22,467
2017-02-23,470
2017-02-24,473
2017-02-25,476
2017-02-26,479
2017-02-27,482
2017-02-28,485
2017-03-01,488
2017-03-02,491
2017-03-03,494
2017-03-04,497
2017-03-05,400
2017-03-06,403
2017-03-07,406
2017-03-08,409
2017-03-09,412
2017-03-10,415
2017-03-11,418
2017-03-12,421
2017-03-13,424
2017-03-14,427
2017-03-15,430
2017-03-16,433
2017-03-17,436
2017-03-18,439
2017-03-19,442
2017-03-20,445
2017-03-21,448
2017-03-22,451
2017-03-23,454
2017-03-24,457
2017-03-25,460
2017-03-26,463
2017-03-27,466
2017-03-28,469
2017-03-29,472
2017-03-30,475
2017-03-31,478
2017-04-01,481
2017-04-02,484
2017-04-03,487
2017-04-04,490
2017-04-05,493
2017-04-06,496
2017-04-07,499
2017-04-08,502
2017-04-09,505
2017-04-10,508
2017-04-11,511
2017-04-12,514
2017-04-13,517
2017-04-14,520
2017-04-15,523
2017-04-16,526
2017-04-17,529
2017-04-18,532
2017-04-19,535
2017-04-20,538
2017-04-21,541
2017-04-22,544
2017-04-23,547
2017-04-24,450
2017-04-25,453
2017-04-26,456
2017-04-27,459
2017-04-28,462
2017-04-29,465
2017-04-30,468
2017-05-01,471
2017-05-02,474
2017-05-03,477
2017-05-04,480
2017-05-05,483
2017-05-06,486
2017-05-07,489
2017-05-08,492
2017-05-09,130
2017-05-10,133
2017-05-11,136
2017-05-12,139
2017-05-13,142
2017-05-14,145
2017-05-15,148
2017-05-16,151
2017-05-17,154
2017-05-18,157
2017-05-19,160
2017-05-20,163
2017-05-21,166
2017-05-22,169
2017-05-23,172
2017-05-24,175
2017-05-25,178
2017-05-26,181
2017-05-27,184
2017-05-28,187
2017-05-29,190
2017-05-30,193
2017-05-31,196
2017-06-01,199
2017-06-02,202
2017-06-03,205
2017-06-04,208
2017-06-05,211
2017-06-06,214
2017-06-07,217
2017-06-08,220
2017-06-09,223
2017-06-10,226
2017-06-11,229
2017-06-12,232
2017-06-13,135
2017-06-14,138
2017-06-15,141
2017-06-16,144
2017-06-17,147
2017-06-18,150
2017-06-19,153
2017-06-20,156
2017-06-21,159
2017-06-22,162
2017-06-23,165
2017-06-24,168
2017-06-25,171
2017-06-26,174
2017-06-27,177
2017-06-28,180
2017-06-29,183
2017-06-30,186
2017-07-01,189
2017-07-02,192
2017-07-03,195
2017-07-04,198
2017-07-05,201
2017-07-06,204
2017-07-07,207
2017-07-08,210
2017-07-09,213
2017-07-10,216
2017-07-11,219
2017-07-12,222
2017-07-13,225
2017-07-14,228
2017-07-15,231
2017-07-16,234
2017-07-17,237
2017-07-18,240
2017-07-19,243
2017-07-20,246
2017-07-21,249
2017-07-22,252
2017-07-23,255
2017-07-24,258
2017-07-25,261
2017-07-26,264
2017-07-27,267
2017-07-28,270
2017-07-29,273
2017-07-30,276
2017-07-31,279
2017-08-01,282
2017-08-02,185
2017-08-03,188
2017-08-04,191
2017-08-05,194
2017-08-06,197
2017-08-07,200
2017-08-08,203
2017-08-09,206
2017-08-10,209
2017-08-11,212
2017-08-12,215
2017-08-13,218
2017-08-14,221
2017-08-15,224
2017-08-16,227
2017-08-17,230
2017-08-18,233
2017-08-19,236
2017-08-20,239
2017-08-21,242
2017-08-22,245
2017-08-23,248
2017-08-24,251
2017-08-25,254
2017-08-26,257
2017-08-27,260
2017-08-28,263
2017-08-29,266
2017-08-30,269
2017-08-31,272
2017-09-01,275
2017-09-02,278
2017-09-03,281
2017-09-04,284
2017-09-05,287
2017-09-06,290
2017-09-07,293
2017-09-08,296
2017-09-09,299
2017-09-10,302
2017-09-11,305
2017-09-12,308
2017-09-13,311
2017-09-14,314
2017-09-15,317
2017-09-16,320
2017-09-17,323
2017-09-18,326
2017-09-19,329
2017-09-20,332
2017-09-21,235
2017-09-22,238
2017-09-23,241
2017-09-24,244
2017-09-25,247
2017-09-26,250
2017-09-27,253
2017-09-28,256
2017-09-29,259
2017-09-30,262
2017-10-01,265
2017-10-02,268
2017-10-03,271
2017-10-04,274
2017-10-05,277
2017-10-06,280
2017-10-07,283
2017-10-08,286
2017-10-09,289
2017-10-10,292
2017-10-11,295
2017-10-12,298
2017-10-13,301
2017-10-14,304
2017-10-15,307
2017-10-16,310
2017-10-17,313
2017-10-18,316
2017-10-19,319
2017-10-20,322
2017-10-21,325
2017-10-22,328
2017-10-23,331
2017-10-24,334
2017-10-25,337
2017-10-26,340
2017-10-27,343
2017-10-28,346
2017-10-29,349
2017-10-30,352
2017-10-31,355
2017-11-01,358
2017-11-02,361
2017-11-03,364
2017-11-04,367
2017-11-05,370
2017-11-06,373
2017-11-07,376
2017-11-08,379
2017-11-09,382
2017-11-10,285
2017-11-11,288
2017-11-12,291
2017-11-13,294
2017-11-14,297
2017-11-15,300
2017-11-16,303
2017-11-17,306
2017-11-18,309
2017-11-19,312
2017-11-20,315
2017-11-21,318
2017-11-22,321
2017-11-23,324
2017-11-24,327
2017-11-25,330
2017-11-26,333
2017-11-27,336
2017-11-28,339
2017-11-29,342
2017-11-30,345
2017-12-01,348
2017-12-02,351
2017-12-03,354
2017-12-04,357
2017-12-05,360
2017-12-06,363
2017-12-07,366
2017-12-08,369
2017-12-09,372
2017-12-10,375
2017-12-11,378
2017-12-12,381
2017-12-13,384
2017-12-14,387
2017-12-15,390
2017-12-16,393
2017-12-17,396
2017-12-18,399
2017-12-19,402
2017-12-20,405
2017-12-21,408
2017-12-22,411
2017-12-23,414
2017-12-24,417
2017-12-25,420
2017-12-26,423
2017-12-27,426
2017-12-28,429
2017-12-29,432
2017-12-30,335
2017-12-31,338
2018-01-01,341
2018-01-02,344
2018-01-03,347
2018-01-04,350
2018-01-05,353
2018-01-06,356
2018-01-07,359
2018-01-08,362
2018-01-09,365
2018-01-10,368
2018-01-11,371
2018-01-12,374
2018-01-13,377
2018-01-14,380
2018-01-15,383
2018-01-16,386
2018-01-17,389
2018-01-18,392
2018-01-19,395
2018-01-20,398
2018-01-21,401
2018-01-22,404
2018-01-23,407
2018-01-24,410
2018-01-25,413
2018-01-26,416
2018-01-27,419
2018-01-28,422
2018-01-29,425
2018-01-30,428
2018-01-31,431
2018-02-01,434
2018-02-02,437
2018-02-03,440
2018-02-04,443
2018-02-05,446
2018-02-06,449
2018-02-07,452
2018-02-08,455
2018-02-09,458
2018-02-10,461
2018-02-11,464
2018-02-12,467
2018-02-13,470
2018-02-14,473
2018-02-15,476
2018-02-16,479
2018-02-17,482
2018-02-18,385
2018-02-19,388
2018-02-20,391
2018-02-21,394
2018-02-22,397
2018-02-23,400
2018-02-24,403
2018-02-25,406
2018-02-26,409
2018-02-27,412
2018-02-28,415
2018-03-01,418
2018-03-02,421
2018-03-03,424
2018-03-04,427
2018-03-05,430
2018-03-06,433
2018-03-07,436
2018-03-08,439
2018-03-09,442
2018-03-10,445
2018-03-11,448
2018-03-12,451
2018-03-13,454
2018-03-14,457
2018-03-15,460
2018-03-16,463
2018-03-17,466
2018-03-18,469
2018-03-19,472
2018-03-20,475
2018-03-21,478
2018-03-22,481
2018-03-23,484
2018-03-24,487
2018-03-25,490
2018-03-26,493
2018-03-27,496
2018-03-28,499
2018-03-29,502
2018-03-30,505
2018-03-31,508
2018-04-01,511
2018-04-02,514
2018-04-03,517
2018-04-04,520
2018-04-05,523
2018-04-06,526
2018-04-07,529
2018-04-08,532
2018-04-09,435
2018-04-10,438
2018-04-11,441
2018-04-12,444
2018-04-13,447
2018-04-14,450
2018-04-15,453
2018-04-16,456
2018-04-17,459
2018-04-18,462
2018-04-19,465
2018-04-20,468
2018-04-21,471
2018-04-22,474
2018-04-23,477
2018-04-24,480
2018-04-25,483
2018-04-26,486
2018-04-27,489
2018-04-28,492
2018-04-29,495
2018-04-30,498
2018-05-01,501
2018-05-02,504
2018-05-03,507
2018-05-04,510
2018-05-05,513
2018-05-06,516
2018-05-07,519
2018-05-08,522
2018-05-09,160
2018-05-10,163
2018-05-11,166
2018-05-12,169
2018-05-13,172
2018-05-14,175
2018-05-15,178
2018-05-16,181
2018-05-17,184
2018-05-18,187
2018-05-19,190
2018-05-20,193
2018-05-21,196
2018-05-22,199
2018-05-23,202
2018-05-24,205
2018-05-25,208
2018-05-26,211
2018-05-27,214
2018-05-28,217
2018-05-29,120
2018-05-30,123
2018-05-31,126
2018-06-01,129
2018-06-02,132
2018-06-03,135
2018-06-04,138
2018-06-05,141
2018-06-06,144
2018-06-07,147
2018-06-08,150
2018-06-09,153
2018-06-10,156
2018-06-11,159
2018-06-12,162
2018-06-13,165
2018-06-14,168
2018-06-15,171
2018-06-16,174
2018-06-17,177
2018-06-18,180
2018-06-19,183
2018-06-20,186
2018-06-21,189
2018-06-22,192
2018-06-23,195
2018-06-24,198
2018-06-25,201
2018-06-26,204
2018-06-27,207
2018-06-28,210
2018-06-29,213
2018-06-30,216
2018-07-01,219
2018-07-02,222
2018-07-03,225
2018-07-04,228
2018-07-05,231
2018-07-06,234
2018-07-07,237
2018-07-08,240
2018-07-09,243
2018-07-10,246
2018-07-11,249
2018-07-12,252
2018-07-13,255
2018-07-14,258
2018-07-15,261
2018-07-16,264
2018-07-17,267
2018-07-18,170
2018-07-19,173
2018-07-20,176
2018-07-21,179
2018-07-22,182
2018-07-23,185
2018-07-24,188
2018-07-25,191
2018-07-26,194
2018-07-27,197
2018-07-28,200
2018-07-29,203
2018-07-30,206
2018-07-31,209
2018-08-01,212
2018-08-02,215
2018-08-03,218
2018-08-04,221
2018-08-05,224
2018-08-06,227
2018-08-07,230
2018-08-08,233
2018-08-09,236
2018-08-10,239
2018-08-11,242
2018-08-12,245
2018-08-13,248
2018-08-14,251
2018-08-15,254
2018-08-16,257
2018-08-17,260
2018-08-18,263
2018-08-19,266
2018-08-20,269
2018-08-21,272
2018-08-22,275
2018-08-23,278
2018-08-24,281
2018-08-25,284
2018-08-26,287
2018-08-27,290
2018-08-28,293
2018-08-29,296
2018-08-30,299
2018-08-31,302
2018-09-01,305
2018-09-02,308
2018-09-03,311
2018-09-04,314
2018-09-05,317
2018-09-06,220
2018-09-07,223
2018-09-08,226
2018-09-09,229
2018-09-10,232
2018-09-11,235
2018-09-12,238
2018-09-13,241
2018-09-14,244
2018-09-15,247
2018-09-16,250
2018-09-17,253
2018-09-18,256
2018-09-19,259
2018-09-20,262
2018-09-21,265
2018-09-22,268
2018-09-23,271
2018-09-24,274
2018-09-25,277
2018-09-26,280
2018-09-27,283
2018-09-28,286
2018-09-29,289
2018-09-30,292
2018-10-01,295
2018-10-02,298
2018-10-03,301
2018-10-04,304
2018-10-05,307
2018-10-06,310
2018-10-07,313
2018-10-08,316
2018-10-09,319
2018-10-10,322
2018-10-11,325
2018-10-12,328
2018-10-13,331
2018-10-14,334
2018-10-15,337
2018-10-16,340
2018-10-17,343
2018-10-18,346
2018-10-19,349
2018-10-20,352
2018-10-21,355
2018-10-22,358
2018-10-23,361
2018-10-24,364
2018-10-25,367
2018-10-26,270
2018-10-27,273
2018-10-28,276
2018-10-29,279
2018-10-30,282
2018-10-31,285
2018-11-01,288
2018-11-02,291
2018-11-03,294
2018-11-04,297
2018-11-05,300
2018-11-06,303
2018-11-07,306
2018-11-08,309
2018-11-09,312
2018-11-10,315
2018-11-11,318
2018-11-12,321
2018-11-13,324
2018-11-14,327
2018-11-15,330
2018-11-16,333
2018-11-17,336
2018-11-18,339
2018-11-19,342
2018-11-20,345
2018-11-21,348
2018-11-22,351
2018-11-23,354
2018-11-24,357
2018-11-25,360
2018-11-26,363
2018-11-27,366
2018-11-28,369
2018-11-29,372
2018-11-30,375
2018-12-01,378
2018-12-02,381
2018-12-03,384
2018-12-04,387
2018-12-05,390
2018-12-06,393
2018-12-07,396
2018-12-08,399
2018-12-09,402
2018-12-10,405
2018-12-11,408
2018-12-12,411
2018-12-13,414
2018-12-14,417
2018-12-15,320
2018-12-16,323
2018-12-17,326
2018-12-18,329
2018-12-19,332
2018-12-20,335
2018-12-21,338
2018-12-22,341
2018-12-23,344
2018-12-24,347
2018-12-25,350
2018-12-26,353
2018-12-27,356
2018-12-28,359
2018-12-29,362
2018-12-30,365
2018-12-31,368
2019-01-01,371
2019-01-02,374
2019-01-03,377
2019-01-04,380
2019-01-05,383
2019-01-06,386
2019-01-07,389
2019-01-08,392
2019-01-09,395
2019-01-10,398
2019-01-11,401
2019-01-12,404
2019-01-13,407
2019-01-14,410
2019-01-15,413
2019-01-16,416
2019-01-17,419
2019-01-18,422
2019-01-19,425
2019-01-20,428
2019-01-21,431
2019-01-22,434
2019-01-23,437
2019-01-24,440
2019-01-25,443
2019-01-26,446
2019-01-27,449
2019-01-28,452
2019-01-29,455
2019-01-30,458
2019-01-31,461
2019-02-01,464
2019-02-02,467
2019-02-03,370
2019-02-04,373
2019-02-05,376
2019-02-06,379
2019-02-07,382
2019-02-08,385
2019-02-09,388
2019-02-10,391
2019-02-11,394
2019-02-12,397
2019-02-13,400
2019-02-14,403
2019-02-15,406
2019-02-16,409
2019-02-17,412
2019-02-18,415
2019-02-19,418
2019-02-20,421
2019-02-21,424
2019-02-22,427
2019-02-23,430
2019-02-24,433
2019-02-25,436
2019-02-26,439
2019-02-27,442
2019-02-28,445
2019-03-01,448
2019-03-02,451
2019-03-03,454
2019-03-04,457
2019-03-05,460
2019-03-06,463
2019-03-07,466
2019-03-08,469
2019-03-09,472
2019-03-10,475
2019-03-11,478
2019-03-12,481
2019-03-13,484
2019-03-14,487
2019-03-15,490
2019-03-16,493
2019-03-17,496
2019-03-18,499
2019-03-19,502
2019-03-20,505
2019-03-21,508
2019-03-22,511
2019-03-23,514
2019-03-24,517
2019-03-25,420
2019-03-26,423
2019-03-27,426
2019-03-28,429
2019-03-29,432
2019-03-30,435
2019-03-31,438
2019-04-01,441
2019-04-02,444
2019-04-03,447
2019-04-04,450
2019-04-05,453
2019-04-06,456
2019-04-07,459
2019-04-08,462
2019-04-09,465
2019-04-10,468
2019-04-11,471
2019-04-12,474
2019-04-13,477
2019-04-14,480
2019-04-15,483
2019-04-16,486
2019-04-17,489
2019-04-18,492
2019-04-19,495
2019-04-20,498
2019-04-21,501
2019-04-22,504
2019-04-23,507
2019-04-24,510
2019-04-25,513
2019-04-26,516
2019-04-27,519
2019-04-28,522
2019-04-29,525
2019-04-30,528
2019-05-01,531
2019-05-02,534
2019-05-03,537
2019-05-04,540
2019-05-05,543
2019-05-06,546
2019-05-07,549
2019-05-08,552
2019-05-09,190
2019-05-10,193
2019-05-11,196
2019-05-12,199
2019-05-13,202
2019-05-14,105
2019-05-15,108
2019-05-16,111
2019-05-17,114
2019-05-18,117
2019-05-19,120
2019-05-20,123
2019-05-21,126
2019-05-22,129
2019-05-23,132
2019-05-24,135
2019-05-25,138
2019-05-26,141
2019-05-27,144
2019-05-28,147
2019-05-29,150
2019-05-30,153
2019-05-31,156
2019-06-01,159
2019-06-02,162
2019-06-03,165
2019-06-04,168
2019-06-05,171
2019-06-06,174
2019-06-07,177
2019-06-08,180
2019-06-09,183
2019-06-10,186
2019-06-11,189
2019-06-12,192
2019-06-13,195
2019-06-14,198
2019-06-15,201
2019-06-16,204
2019-06-17,207
2019-06-18,210
2019-06-19,213
2019-06-20,216
2019-06-21,219
2019-06-22,222
2019-06-23,225
2019-06-24,228
2019-06-25,231
2019-06-26,234
2019-06-27,237
2019-06-28,240
2019-06-29,243
2019-06-30,246
2019-07-01,249
2019-07-02,252
2019-07-03,155
2019-07-04,158
2019-07-05,161
2019-07-06,164
2019-07-07,167
2019-07-08,170
2019-07-09,173
2019-07-10,176
2019-07-11,179
2019-07-12,182
2019-07-13,185
2019-07-14,188
2019-07-15,191
2019-07-16,194
2019-07-17,197
2019-07-18,200
2019-07-19,203
2019-07-20,206
2019-07-21,209
2019-07-22,212
2019-07-23,215
2019-07-24,218
2019-07-25,221
2019-07-26,224
2019-07-27,227
2019-07-28,230
2019-07-29,233
2019-07-30,236
2019-07-31,239
2019-08-01,242
2019-08-02,245
2019-08-03,248
2019-08-04,251
2019-08-05,254
2019-08-06,257
2019-08-07,260
2019-08-08,263
2019-08-09,266
2019-08-10,269
2019-08-11,272
2019-08-12,275
2019-08-13,278
2019-08-14,281
2019-08-15,284
2019-08-16,287
2019-08-17,290
2019-08-18,293
2019-08-19,296
2019-08-20,299
2019-08-21,302
2019-08-22,205
2019-08-23,208
2019-08-24,211
2019-08-25,214
2019-08-26,217
2019-08-27,220
2019-08-28,223
2019-08-29,226
2019-08-30,229
2019-08-31,232
2019-09-01,235
2019-09-02,238
2019-09-03,241
2019-09-04,244
2019-09-05,247
2019-09-06,250
2019-09-07,253
2019-09-08,256
2019-09-09,259
2019-09-10,262
2019-09-11,265
2019-09-12,268
2019-09-13,271
2019-09-14,274
2019-09-15,277
2019-09-16,280
2019-09-17,283
2019-09-18,286
2019-09-19,289
2019-09-20,292
2019-09-21,295
2019-09-22,298
2019-09-23,301
2019-09-24,304
2019-09-25,307
2019-09-26,310
2019-09-27,313
2019-09-28,316
2019-09-29,319
2019-09-30,322
2019-10-01,325
2019-10-02,328
2019-10-03,331
2019-10-04,334
2019-10-05,337
2019-10-06,340
2019-10-07,343
2019-10-08,346
2019-10-09,349
2019-10-10,352
2019-10-11,255
2019-10-12,258
2019-10-13,261
2019-10-14,264
2019-10-15,267
2019-10-16,270
2019-10-17,273
2019-10-18,276
2019-10-19,279
2019-10-20,282
2019-10-21,285
2019-10-22,288
2019-10-23,291
2019-10-24,294
2019-10-25,297
2019-10-26,300
2019-10-27,303
2019-10-28,306
2019-10-29,309
2019-10-30,312
2019-10-31,315
2019-11-01,318
2019-11-02,321
2019-11-03,324
2019-11-04,327
2019-11-05,330
2019-11-06,333
2019-11-07,336
2019-11-08,339
2019-11-09,342
2019-11-10,345
2019-11-11,348
2019-11-12,351
2019-11-13,354
2019-11-14,357
2019-11-15,360
2019-11-16,363
2019-11-17,366
2019-11-18,369
2019-11-19,372
2019-11-20,375
2019-11-21,378
2019-11-22,381
2019-11-23,384
2019-11-24,387
2019-11-25,390
2019-11-26,393
2019-11-27,396
2019-11-28,399
2019-11-29,402
2019-11-30,305
2019-12-01,308
2019-12-02,311
2019-12-03,314
